OE Opportunities,,,,,,,,,,Formula,,,,,,,Formula,,,,
,,,,,,,Lead,Lead,,,,,Contract,,Estimated,Estimated, 84.2 ,,,,
Sr. no.,Customer,Description,Business Unit,"Product 
category","Product
subcategory","Business 
category","PIN 
Sales","PIN 
Presales","Deal 
stage","Deal 
classification","Deal 
status","Winning 
probability",Estimated closure date,Confidence level,Lifetime volume,Unit price (INR),Unit price (USD),"TCV 
(USD Mln.)",Comments,PMS,Remarks
24,FIAT,360 Camera,MAC,Smartcam,360-deg. camera,End-of-Line,KG/PA,Haseeb,D,Lead,Supplier Qualification,50%,Sep-26,Low," 9,000 "," 25,000 ", 296.9 , 2.7 ,Discussion in progress with Stellantis Engg. team,N,
25,Tata CV (CV),Infotainment,MPC,IVI ,IVI,Line-fit,Parvez,Haseeb,O (D),Dropped,Other,0%,Dec-25,Dropped," 6,000 "," 25,000 ", 296.9 , 1.8 ,"Tata is not ready to handle MAP Topic, 
Due to its complexity and less volume Pioneer dropped this Project",Y,
26,Tata CV (CV),DMS,MAC,Other MAC,DMS,Line-fit,Parvez,Haseeb,O (L),RFQ,Lost,Lost,Nov-25,Lost," 5,00,000 "," 3,800 ", 45.1 , 22.6 ,Lost to (Novus Hi-Tech).,,
27,Hyundai,360-deg. camera solution,MAC,Smartcam,360-deg. camera,Line-fit,Gaurav,Haseeb,A,Before Lead,Planning,0%,TBC,Low, -   , -   , -   , -   ,,N,
28,VW / Skoda (4W),360-deg. camera solution,MAC,Smartcam,360-deg. camera,DOP,Parvez,Haseeb,O (D),Dropped,Other,0%,Dec-25,Dropped," 8,000 "," 13,500 ", 160.3 , 1.3 ,"We were not getting desired volume, Meantime Price of 360 degree increase due to technology shift from single chanel to dual chanel.",N,
29,VW / Skoda (4W),Dashcam (520DC),MAC,Smartcam,Dashcam,DOP,Parvez,Haseeb,O (D),Dropped,Other,0%,Dec-25,Dropped," 8,000 "," 5,000 ", 59.4 , 0.5 ,Less intrest from SAVW side.,N,
30,Eicher/Volvo (CV),IVI,MPC,IVI ,IVI,Line-fit,Parvez,Haseeb,O (D),Lost,Lost,Lost,Oct-25,Dropped," 1,00,000 "," 14,000 ", 166.3 , 16.6 ,VECV Was looking for engineering service and IVI development they wanted to develop with another source.,,Dropped by Pioneer.
31,Eicher/Volvo (CV),Wirless Charger MPP Profile Qi 2.2,MAC,Other MAC,WLC,Line-fit,Parvez,Haseeb,E,RFQ,Opportunity,50%,Jun-26,Mid," 1,00,000 "," 2,500 ", 29.7 , 3.0 ,RFQ received (28-Dec-2025),N,
32,VW / Skoda (4W),Infotainment,MPC,IVI ,IVI,DOP,Parvez,Haseeb,O (D),Dropped,Other,0%,Oct-25,Dropped," 20,000 "," 13,000 ", 154.4 , 3.1 ,"RFQ Received, Commercial offer submitted.
SAVW expectation is 12000 Against our Quote of 14500 INR",N,AFT product base proposed
33,Nissan (4W),Tweeter,MPC,Sound ,Spks.,Line-fit,Gaurav,Rachit,O (L),Lost,Other,0%,Lost,Mid," 6,35,000 ", 130 , 1.5 , 1.0 ,,,
34,Nissan (4W),Wirless Charger MPP Profile Qi 2.1,MAC,Other MAC,WLC,Line-fit,Gaurav,Haseeb,C,Lead,Lead Qualification,50%,Mar-27,Mid," 6,35,000 "," 1,900 ", 22.6 , 14.3 ,Awaiting RFQ from Nissan,,
